Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-03-14 19:15:55.789 +0530,"Success",0:00:00,0,0,0,"20240314_191555.789/LogFile.txt","","",1
2024-03-14 19:18:58.267 +0530,"Success",0:00:00,0,0,0,"20240314_191858.267/LogFile.txt","","",1
2024-03-14 19:20:52.302 +0530,"Success",0:00:00,0,0,0,"20240314_192052.302/LogFile.txt","","",1
2024-03-14 19:22:47.660 +0530,"Success",0:00:00,0,0,0,"20240314_192247.660/LogFile.txt","","",1
2024-03-14 19:23:37.100 +0530,"Success",0:00:00,0,0,0,"20240314_192337.100/LogFile.txt","","",1
2024-03-14 19:25:05.565 +0530,"Success",0:00:00,0,0,0,"20240314_192505.565/LogFile.txt","","",1
