Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
LaunchWebsite,Failure,6,5,2024-03-21 16:53:50 +0530,2024-03-21 17:11:29 +0530,0:00:08
Common,Success,1,0,2024-03-21 13:06:20 +0530,2024-03-21 13:06:20 +0530,0:00:00
LaunchBrowser,Success,39,13,2024-03-21 11:42:29 +0530,2024-03-21 16:46:45 +0530,0:00:02
