Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-03-14 17:33:45.366 +0530,"Success",0:00:06,0,0,0,"20240314_173345.366/LogFile.txt","","",1
2024-03-14 17:34:55.224 +0530,"Success",0:00:10,0,0,0,"20240314_173455.224/LogFile.txt","","",1
2024-03-14 17:35:26.607 +0530,"Aborted",0:00:09,1,0,1,"20240314_173526.607/LogFile.txt","","",0
2024-03-14 17:35:36.592 +0530,"Success",0:00:10,0,0,0,"20240314_173536.592/LogFile.txt","","",1
2024-03-14 17:36:10.343 +0530,"Aborted",0:00:22,1,0,1,"20240314_173610.343/LogFile.txt","","",0
2024-03-14 17:36:34.393 +0530,"Success",0:00:10,0,0,0,"20240314_173634.393/LogFile.txt","","",1
2024-03-14 17:37:12.026 +0530,"Success",0:00:07,0,0,0,"20240314_173712.026/LogFile.txt","","",1
