Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-03-14 19:12:15.136 +0530,"Success",0:00:00,0,0,0,"20240314_191215.136/LogFile.txt","","",1
2024-03-14 19:12:28.139 +0530,"Success",0:00:00,0,0,0,"20240314_191228.139/LogFile.txt","","",1
